Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2023-07,S_EURUSD_S27_2_941811_128EF295,-45.038873159999994,,-76.331542864
2023-07,S_GBPUSD_S35_0_2648124_940EFDBB,-44.197761160000006,,-76.331542864
2023-08,S_GBPUSD_S43_4_757760_36AEAD74,357.46021942,229.63749874600003,
2023-08,S_EURUSD_S33_4_6607397_2278A9A2,275.17799095,229.63749874600003,
2023-08,S_EURUSD_S27_0_968056_401BDC61,250.56385563,229.63749874600003,
2023-08,S_GBPUSD_S43_2_2540157_E8ED90A3,245.70974932000001,229.63749874600003,
2023-08,S_GBPUSD_S35_0_9865291_B99E8262,220.23583627,229.63749874600003,
2023-08,S_GBPUSD_S35_1_3749132_746299E1,197.81562275,229.63749874600003,
2023-08,L_GBPUSD_S30_2_580890_F34C951A,196.22925558,229.63749874600003,
2023-08,S_GBPUSD_S43_3_2447853_CDFA30F9,193.54527936,229.63749874600003,
2023-08,S_EURUSD_S25_2_65287_C19B1B5D,185.53473844,229.63749874600003,
2023-08,S_EURUSD_S33_3_9645908_9F4E969C,174.10243974,229.63749874600003,
2023-08,L_EURUSD_S40_1_2021494_EBF286EB,-104.96631545,,-57.430814971
2023-08,L_GBPUSD_S34_3_2130541_D1469B50,-99.5713591,,-57.430814971
2023-08,L_EURUSD_S32_1_5231180_29EAA6F4,-67.73875167,,-57.430814971
2023-08,S_EURUSD_S33_3_6761538_C00ABECC,-59.315176769999994,,-57.430814971
2023-08,S_EURUSD_S33_1_1965310_88C485AE,-53.30009226,,-57.430814971
2023-08,L_GBPUSD_S42_1_1080818_1D3D5D86,-46.673243819999996,,-57.430814971
2023-08,L_GBPUSD_S42_3_1744719_F73CE88C,-42.78586832999999,,-57.430814971
2023-08,S_GBPUSD_S43_0_2978460_E3DF6342,-40.203577349999996,,-57.430814971
2023-08,L_GBPUSD_S42_4_1786370_A28D04BD,-30.726842510000004,,-57.430814971
2023-08,S_EURUSD_S41_0_2283662_E9FE0C45,-29.02692245,,-57.430814971
2023-09,S_EURUSD_S41_2_1957722_C9BF0F3D,297.8792312,176.546409837,
2023-09,S_GBPUSD_S35_3_3685202_06824EEE,228.30802543,176.546409837,
2023-09,L_EURUSD_S32_2_9737662_670B1C00,199.43065947,176.546409837,
2023-09,S_GBPUSD_S35_3_6866072_43587EAA,172.16740534,176.546409837,
2023-09,S_GBPUSD_S43_2_2540157_E8ED90A3,171.76927414,176.546409837,
2023-09,S_GBPUSD_S43_4_757760_36AEAD74,168.14444973,176.546409837,
2023-09,S_EURUSD_S25_2_65287_C19B1B5D,137.7923322,176.546409837,
2023-09,S_EURUSD_S33_3_1448881_78FBD3B5,131.56069584,176.546409837,
2023-09,S_GBPUSD_S35_1_3749132_746299E1,131.16601436,176.546409837,
2023-09,S_EURUSD_S33_4_6607397_2278A9A2,127.24601066,176.546409837,
2023-09,L_GBPUSD_S34_2_9722597_DB736AAF,-118.13864377,,-82.61162426300001
